PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment 4670d9e2-33b5-431e-86e6-46b8f8e2a689 in subscription Azure for Students does not grant User Access Administrator role.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Authorization/roleAssignments/4670d9e2-33b5-431e-86e6-46b8f8e2a689;iam_role_user_access_admin_restricted;False;4670d9e2-33b5-431e-86e6-46b8f8e2a689;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment afa07eb0-4d74-4932-8b01-8baa6088f109 in subscription Azure for Students does not grant User Access Administrator role.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Authorization/roleAssignments/afa07eb0-4d74-4932-8b01-8baa6088f109;iam_role_user_access_admin_restricted;False;afa07eb0-4d74-4932-8b01-8baa6088f109;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment 164d1e56-c735-48f6-9c81-20a6a75c96ae in subscription Azure for Students does not grant User Access Administrator role.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Authorization/roleAssignments/164d1e56-c735-48f6-9c81-20a6a75c96ae;iam_role_user_access_admin_restricted;False;164d1e56-c735-48f6-9c81-20a6a75c96ae;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment ad2213eb-9367-4c92-760d-fce6bc5c8dd8 in subscription Azure for Students does not grant User Access Administrator role.;/providers/Microsoft.Management/managementGroups/dbd6664d-4eb9-46eb-99d8-5c43ba153c61/providers/Microsoft.Authorization/roleAssignments/ad2213eb-9367-4c92-760d-fce6bc5c8dd8;iam_role_user_access_admin_restricted;False;ad2213eb-9367-4c92-760d-fce6bc5c8dd8;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment abbad544-0e37-4453-b44b-87cdbbbf3bef in subscription Azure for Students does not grant User Access Administrator role.;/providers/Microsoft.Management/managementGroups/dbd6664d-4eb9-46eb-99d8-5c43ba153c61/providers/Microsoft.Authorization/roleAssignments/abbad544-0e37-4453-b44b-87cdbbbf3bef;iam_role_user_access_admin_restricted;False;abbad544-0e37-4453-b44b-87cdbbbf3bef;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;Role assignment bdc892dc-1b3a-4efa-abfb-76e6b2b4a03d in subscription Azure for Students does not grant User Access Administrator role.;/providers/Microsoft.Management/managementGroups/dbd6664d-4eb9-46eb-99d8-5c43ba153c61/providers/Microsoft.Authorization/roleAssignments/bdc892dc-1b3a-4efa-abfb-76e6b2b4a03d;iam_role_user_access_admin_restricted;False;bdc892dc-1b3a-4efa-abfb-76e6b2b4a03d;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;FAIL;There is not an alert for creating Policy Assignments in subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;monitor_alert_create_policy_assignment;False;Azure for Students;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;FAIL;There is not an alert for creating/updating Network Security Groups in subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;monitor_alert_create_update_nsg;False;Azure for Students;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;FAIL;There is not an alert for creating/updating Public IP address rule in subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;monitor_alert_create_update_public_ip_address_rule;False;Azure for Students;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;8eef52e8-b918-4aec-8a36-fb2218e65f77;global;2026-04-28 01:21:11.393465;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;FAIL;There is not an alert for creating/updating Security Solution in subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;monitor_alert_create_update_security_solution;False;Azure for Students;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
