PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;op.acc.6.r1.az.eid.3;Contraseñas;op.acc.6.r1;operacional;control de acceso;Habilitar la protección de Defender para los KEY Vault;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Defender plan Defender for KeyVaults from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/KeyVaults;defender_ensure_defender_for_keyvault_is_on;False;Defender plan KeyVaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Open-Source Relational Databases from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/OpenSourceRelationalDatabases;defender_ensure_defender_for_os_relational_databases_is_on;False;Defender plan Open-Source Relational Databases;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;op.mon.3.r1.az.ev.1;Correlación de eventos;op.mon.3.r1 ;operacional;monitorización del sistema;Habilitar el monitoreo del servidor en defender;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for SQL Server VMs from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;defender_ensure_defender_for_sql_servers_is_on;False;Defender plan SQL Server VMs;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.5;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de almacenamiento en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Storage Accounts from subscription Azure for Students is set to OFF (pricing tier not standard).;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/pricings/StorageAccounts;defender_ensure_defender_for_storage_is_on;False;Defender plan Storage Accounts;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;No IoT Security Solutions found in the subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;defender_ensure_iot_hub_defender_is_on;False;Azure for Students;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;PASS;Microsoft Defender for Cloud Apps is enabled for subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/settings/MCAS;defender_ensure_mcas_is_enabled;False;MCAS;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;op.mon.3.r3.az.de.2;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Habilitar la protección de amenazas avanzadas para la detección de ciberamenazas en la nube.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Microsoft Defender for Endpoint integration is enabled for subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77/providers/Microsoft.Security/settings/WDATP;defender_ensure_wdatp_is_enabled;False;WDATP;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure for Students;global;2026-04-28 01:21:11.393465;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating Policy Assignments in subscription Azure for Students.;/subscriptions/8eef52e8-b918-4aec-8a36-fb2218e65f77;monitor_alert_create_policy_assignment;False;Azure for Students;ENS;ENS RD 311/2022 - Categoría Alta
